Date,Open,High,Low,Close,Adj Close,Volume
2013-06-01,61.240002,63.000000,53.880001,60.840000,59.789143,433969460
2013-07-01,60.840000,72.800003,59.200001,70.360001,69.144707,450908885
2013-08-01,70.800003,76.000000,70.199997,72.720001,71.463943,403715720
2013-09-01,73.839996,84.480003,73.400002,81.360001,79.954712,397193065
2013-10-01,81.360001,91.000000,80.480003,84.639999,83.178055,352990390
2013-11-01,84.000000,89.879997,77.559998,89.680000,88.131012,470775510
2013-12-01,90.000000,100.400002,88.000000,98.919998,97.211411,343789180
2014-01-01,98.919998,109.000000,96.239998,108.699997,106.822487,558644260
2014-02-01,108.699997,126.199997,100.000000,124.500000,122.349579,592431500
2014-03-01,121.400002,129.199997,102.599998,107.900002,106.036301,800198970
2014-04-01,108.800003,115.300003,96.519997,96.639999,94.970779,673963385
2014-05-01,96.639999,114.500000,93.000000,109.300003,107.412117,483750288
2014-06-01,109.300003,119.500000,107.699997,118.199997,116.415192,357771683
2014-07-01,118.199997,130.899994,118.199997,128.399994,126.461166,405894788
2014-08-01,127.000000,134.000000,125.599998,126.500000,124.589867,396431663
2014-09-01,127.000000,129.899994,112.800003,115.500000,113.755966,450077887
2014-10-01,115.500000,124.000000,112.300003,123.599998,121.733650,331837939
2014-11-01,125.000000,134.899994,121.500000,124.000000,122.127609,417101395
2014-12-01,121.699997,122.500000,104.500000,112.500000,110.801254,542927212
2015-01-01,112.500000,138.000000,111.300003,132.000000,130.006805,531736285
2015-02-01,129.899994,137.300003,128.000000,135.899994,133.847931,274377924
2015-03-01,136.699997,151.399994,130.199997,147.199997,144.977280,492249584
2015-04-01,148.600006,171.000000,146.600006,160.899994,158.470428,577002496
2015-05-01,160.899994,163.899994,151.800003,155.699997,153.348938,370835552
2015-06-01,155.699997,163.800003,150.000000,154.699997,152.704865,339535099
2015-07-01,154.699997,157.899994,131.399994,144.699997,142.833832,503466111
2015-08-01,144.000000,145.899994,124.000000,131.800003,130.100189,526361635
2015-09-01,131.699997,137.699997,125.099998,129.300003,127.632454,422646765
2015-10-01,129.300003,152.000000,129.300003,146.600006,144.709335,307571170
2015-11-01,148.800003,158.300003,146.199997,154.300003,152.310013,340678392
2015-12-01,156.399994,157.500000,143.000000,152.500000,150.533234,353498828
2016-01-01,152.500000,152.500000,133.100006,144.899994,143.031235,447539335
2016-02-01,146.300003,147.699997,132.100006,141.899994,140.069931,316584637
2016-03-01,142.000000,159.899994,141.500000,158.399994,156.357132,395597161
2016-04-01,159.600006,167.199997,154.399994,158.899994,156.850693,296851096
2016-05-01,158.899994,173.699997,152.199997,173.300003,171.064987,424646456
2016-06-01,172.000000,178.500000,167.000000,176.100006,174.350159,376676412
2016-07-01,176.100006,189.800003,173.000000,186.500000,184.646805,242668601
2016-08-01,187.000000,205.399994,181.500000,201.800003,199.794769,315993021
2016-09-01,201.000000,220.800003,200.800003,213.000000,210.883453,334252248
2016-10-01,216.399994,218.199997,205.199997,205.800003,203.755035,215478843
2016-11-01,207.800003,209.600006,189.699997,193.699997,191.775253,463443779
2016-12-01,195.000000,195.399994,179.600006,189.699997,187.814987,344434952
2017-01-01,189.699997,205.600006,188.000000,204.399994,202.368927,249542346
2017-02-01,202.000000,216.399994,200.800003,207.000000,204.943100,309844161
2017-03-01,207.000000,230.199997,204.199997,222.800003,220.586105,429202315
2017-04-01,226.000000,245.000000,222.399994,243.399994,240.981384,268566404
2017-05-01,243.399994,280.600006,241.800003,267.600006,264.940948,492631656
2017-06-01,267.000000,288.399994,262.799988,279.200012,277.065887,469284656
2017-07-01,278.399994,314.399994,260.399994,313.399994,311.004425,401667452
2017-08-01,309.000000,341.000000,308.000000,329.000000,326.485199,535246333
2017-09-01,331.799988,349.600006,319.200012,336.200012,333.630188,378665372
2017-10-01,336.200012,356.399994,336.200012,349.799988,347.126190,299099802
2017-11-01,352.000000,439.600006,351.600006,398.000000,394.957794,659559194
2017-12-01,398.000000,410.799988,365.200012,406.000000,402.896637,569911663
2018-01-01,406.000000,476.600006,406.000000,463.600006,460.056366,497728919
2018-02-01,466.000000,466.799988,398.000000,432.200012,428.896362,584620294
2018-03-01,430.000000,475.600006,405.000000,409.600006,406.469116,893665703
2018-04-01,409.600006,425.600006,377.200012,391.000000,388.011292,470531599
2018-05-01,391.000000,424.200012,375.399994,399.200012,396.148621,546409149
2018-06-01,401.600006,431.600006,373.399994,393.799988,391.628387,471339468
2018-07-01,393.799988,398.000000,353.399994,355.200012,353.241272,396098079
2018-08-01,360.799988,375.600006,319.000000,340.000000,338.125092,652538985
2018-09-01,333.399994,341.000000,305.200012,323.200012,321.417755,488742261
2018-10-01,323.200012,325.000000,251.399994,267.000000,265.527649,613211232
2018-11-01,275.000000,320.799988,260.000000,312.000000,310.279510,625323261
2018-12-01,328.000000,328.399994,297.000000,314.000000,312.268463,389372733
2019-01-01,314.000000,351.000000,300.399994,346.000000,344.091980,441164807
2019-02-01,352.000000,353.000000,331.200012,335.799988,333.948242,257313248
2019-03-01,337.399994,371.200012,333.399994,361.000000,359.009277,407134287
2019-04-01,367.799988,400.399994,364.799988,388.000000,385.860382,295364320
2019-05-01,388.000000,395.000000,316.799988,326.000000,324.202301,455342228
2019-06-01,329.799988,357.399994,326.000000,352.600006,351.617371,306725415
2019-07-01,352.600006,377.799988,347.000000,368.200012,367.173920,238075502
2019-08-01,372.399994,373.799988,312.200012,324.799988,323.894836,418385796
2019-09-01,327.600006,351.000000,323.399994,330.200012,329.279816,288415708
2019-10-01,330.200012,334.200012,314.600006,320.799988,319.905975,332546358
2019-11-01,319.600006,342.000000,318.000000,331.799988,330.875336,357502880
2019-12-01,335.000000,385.399994,325.399994,375.600006,374.553284,346820753
2020-01-01,375.600006,413.000000,370.200012,373.000000,371.960510,373476000
2020-02-01,378.000000,420.000000,369.600006,386.000000,384.924286,388225800
2020-03-01,384.600006,406.799988,325.200012,380.200012,379.140472,767735560
2020-04-01,383.600006,419.600006,369.600006,417.000000,415.837891,344548740
2020-05-01,417.000000,447.000000,400.000000,410.399994,409.256287,461947360
2020-06-01,419.399994,505.000000,419.200012,498.600006,498.600006,461371095
2020-07-01,503.000000,564.000000,503.000000,534.000000,534.000000,483345906
2020-08-01,536.000000,564.000000,499.399994,530.500000,530.500000,469228570
2020-09-01,537.500000,555.000000,501.500000,511.500000,511.500000,335247020
2020-10-01,511.500000,614.000000,511.500000,591.000000,591.000000,284693185
2020-11-01,593.000000,633.000000,551.000000,563.000000,563.000000,485618230
2020-12-01,573.000000,593.000000,519.000000,564.000000,564.000000,402274764
2021-01-01,558.000000,629.500000,557.500000,629.500000,629.500000,245703520
2021-01-15,629.500000,646.000000,618.000000,645.000000,645.000000,30660064
