投资方,年份,行业,数量,平均数
腾讯,2020,1,7,8881666667
腾讯,2020,2,15,1957356667
阿里巴巴,2020,3,2,300000000
腾讯,2020,3,16,732127272.7
阿里巴巴,2020,4,2,196500000
腾讯,2020,4,6,529000000
腾讯,2020,5,1,1506499999
阿里巴巴,2020,6,1,4257500000
腾讯,2020,6,4,7205000000
腾讯,2020,7,8,1194948571
腾讯,2020,8,8,2519535714
腾讯,2020,9,4,2451010000
阿里巴巴,2020,10,3,6310000000
腾讯,2020,10,2,0
阿里巴巴,2020,11,1,500000000
腾讯,2020,11,4,1830000000
腾讯,2020,12,4,635500000
腾讯,2020,13,8,921666666.7
阿里巴巴,2020,14,2,0
腾讯,2020,14,4,93250000
阿里巴巴,2020,15,1,0
阿里巴巴,2020,16,2,0
腾讯,2020,16,2,0
阿里巴巴,2020,17,4,7060541250
腾讯,2020,17,7,2248062500
阿里巴巴,2020,18,1,0
腾讯,2020,18,2,77500000
阿里巴巴,2020,19,3,6600000000
腾讯,2020,19,3,5600250000
腾讯,2020,20,1,23500000000
腾讯,2020,21,1,78000000
腾讯,2020,22,7,529590000
