投资方,年份,行业,数量,平均数
腾讯,2020,10,3,1572000000
阿里巴巴,2020,11,1,500000000
腾讯,2020,11,5,1442912500
腾讯,2020,12,4,635500000
腾讯,2020,13,8,921666666.7
阿里巴巴,2020,14,2,0
腾讯,2020,14,4,93250000
阿里巴巴,2020,15,1,0
阿里巴巴,2020,16,3,50000000
腾讯,2020,16,2,0
阿里巴巴,2020,17,6,5727033000
腾讯,2020,17,7,2248062500
阿里巴巴,2020,18,1,0
腾讯,2020,18,4,152100000
阿里巴巴,2020,19,3,6600000000
腾讯,2020,19,3,5600250000
腾讯,2020,20,1,23500000000
腾讯,2020,21,1,78000000
腾讯,2020,22,7,529590000
