month,投资方,year,industry,num
7,阿里巴巴,2020,4,1
7,腾讯,2020,4,1
7,腾讯,2020,6,1
7,腾讯,2020,8,1
7,腾讯,2020,10,1
7,腾讯,2020,11,1
7,腾讯,2020,12,2
7,腾讯,2020,13,1
7,腾讯,2020,17,2
8,腾讯,2010,3,1
8,阿里巴巴,2010,10,1
8,腾讯,2011,3,1
8,腾讯,2011,12,1
8,腾讯,2011,14,1
8,阿里巴巴,2012,5,1
8,腾讯,2012,5,1
8,腾讯,2012,12,1
8,阿里巴巴,2013,17,1
8,阿里巴巴,2014,1,1
8,腾讯,2014,8,1
8,腾讯,2014,9,1
8,阿里巴巴,2014,10,1
8,阿里巴巴,2014,12,1
8,腾讯,2014,18,1
8,阿里巴巴,2015,1,1
8,腾讯,2015,1,2
8,阿里巴巴,2015,3,2
8,腾讯,2015,4,1
8,阿里巴巴,2015,5,1
8,腾讯,2015,5,3
8,腾讯,2015,6,1
8,腾讯,2015,7,2
8,阿里巴巴,2015,11,2
8,腾讯,2015,11,2
8,腾讯,2015,12,1
8,阿里巴巴,2015,14,1
8,腾讯,2015,19,1
8,阿里巴巴,2016,4,1
8,阿里巴巴,2016,5,1
8,腾讯,2016,5,2
8,阿里巴巴,2016,6,1
8,腾讯,2016,6,1
8,腾讯,2016,7,1
8,阿里巴巴,2016,9,1
8,腾讯,2016,9,1
8,腾讯,2016,12,1
8,腾讯,2017,1,3
8,腾讯,2017,2,1
8,阿里巴巴,2017,3,2
8,腾讯,2017,3,2
8,腾讯,2017,4,1
8,腾讯,2017,5,1
8,阿里巴巴,2017,6,1
8,腾讯,2017,8,2
8,阿里巴巴,2017,13,1
8,阿里巴巴,2017,14,2
8,腾讯,2017,14,1
8,腾讯,2017,17,1
8,阿里巴巴,2018,1,2
8,腾讯,2018,1,4
8,腾讯,2018,2,1
8,阿里巴巴,2018,3,1
8,阿里巴巴,2018,4,1
8,腾讯,2018,8,1
8,腾讯,2018,9,1
8,腾讯,2018,10,1
8,阿里巴巴,2018,11,1
8,腾讯,2018,11,1
8,腾讯,2018,13,1
8,腾讯,2018,14,1
8,腾讯,2019,1,1
8,阿里巴巴,2019,3,1
8,腾讯,2019,3,2
8,腾讯,2019,4,1
8,腾讯,2019,6,3
8,腾讯,2019,8,1
8,阿里巴巴,2019,19,1
8,腾讯,2020,1,1
8,阿里巴巴,2020,3,1
8,腾讯,2020,3,2
8,腾讯,2020,5,1
8,腾讯,2020,8,1
8,腾讯,2020,9,1
8,阿里巴巴,2020,10,1
8,阿里巴巴,2020,11,1
8,腾讯,2020,11,1
8,腾讯,2020,13,1
8,腾讯,2020,14,1
8,腾讯,2020,16,1
8,腾讯,2020,17,1
8,阿里巴巴,2020,19,1
8,腾讯,2020,20,1
9,阿里巴巴,2009,14,1
9,腾讯,2010,2,1
9,阿里巴巴,2010,6,1
